index,sentence,context,regex_matches,fuzzy_matches,semantic_score,semantic_best_seed,cluster_label,zero_shot_raw
4194,I,206 I grains  of  incense  anguille  bronze.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
4256,L,208 L II,,transsexual(100); genderless(100); sexless(100); ladyman(100); boy-girl(100); switching roles(100); wearing the other's clothes(100),,,9,
4318,"Foul  strips  of  his 
Chinook's  bible  I  do  be  reading,  dodwell  disgustered  but  chickled 
with  chuckles  at  the  tittles  is  drawn  on  the  tattlepage.","Only  snuffers'  cornets  drifts  my  way  that  the  cracka 
dvine  chucks  out  of  his  cassock,  with  her  estheryear's  marsh 
narcissus  to  make  him  recant  his  vanitty  fair. Foul  strips  of  his 
Chinook's  bible  I  do  be  reading,  dodwell  disgustered  but  chickled 
with  chuckles  at  the  tittles  is  drawn  on  the  tattlepage. Senior  ga 
dito:",,disguise(88),,,4,
4442,r,'i r them.,,transgender(100); transsexual(100); transvestite(100); gender identity(100); cross-dress(100); cross dressing(100); born a woman(100); born a man(100); androgyne(100); androgyny(100); hermaphrodite(100); two-spirit(100); gendered(100); genderless(100); boy-girl(100); dressed as a man(100); dressed as a woman(100); become other(100); switching roles(100); wearing the other's clothes(100),,,7,
4516,L,"II L Every  evening  at  lighting  up  o'clock  sharp  and  until  further 
notice  in  Feenichts  Playhouse.",,transsexual(100); genderless(100); sexless(100); ladyman(100); boy-girl(100); switching roles(100); wearing the other's clothes(100),,,9,
4547,r,"Time:  the  pressant. r With  futurist  onehorse  balletbattle  pictures  and  the  Pageant 
of  Past  History  worked  up  with  animal  variations  amid  ever-  t-^^ 
glaning  mangrovemazes  and  beorbtracktors  by  Messrs  Thud  and 
Blunder.",,transgender(100); transsexual(100); transvestite(100); gender identity(100); cross-dress(100); cross dressing(100); born a woman(100); born a man(100); androgyne(100); androgyny(100); hermaphrodite(100); two-spirit(100); gendered(100); genderless(100); boy-girl(100); dressed as a man(100); dressed as a woman(100); become other(100); switching roles(100); wearing the other's clothes(100),,,7,
4684,L,"■ L is  a  little  tittertit  of  hilarity  (Lad-o'-me-soul  I  Lad-o'-me-soul, 
see!)",,transsexual(100); genderless(100); sexless(100); ladyman(100); boy-girl(100); switching roles(100); wearing the other's clothes(100),,,9,
4843,r,1 r yord!,,transgender(100); transsexual(100); transvestite(100); gender identity(100); cross-dress(100); cross dressing(100); born a woman(100); born a man(100); androgyne(100); androgyny(100); hermaphrodite(100); two-spirit(100); gendered(100); genderless(100); boy-girl(100); dressed as a man(100); dressed as a woman(100); become other(100); switching roles(100); wearing the other's clothes(100),,,7,
4975,I,) I ii,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
4978,i,"j i and  if  he  hadn't  got  it  toothick  he'd  a  telltale  tall  of  his  pitcher 
on  a  wall  with  his  photure  in  the  papers  for  cutting  moutonlegs 
and  capers,  letting  on  he'd  jest  be  japers  and  his  tail  cooked  up.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
5043,I,"234 I their  salat,  the  madiens'  prayer  to  the  messiager  of  His  Nabis, 
prostitating  their  selfs  eachwise  and  combinedly.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
5280,I,"242 I come  into  the  pictures  more  as  hundreads  elskerelks'  yahrds  of 
annams  call  away,  factory  fresh  and  fiuming  at  the  mouth,  wronged 
by  Hwemwednoget  (magrathmagreeth,  he  takable  a  rap  for  that 
early  party)  and  whenceforward  Ani  Mama  and  her  fiertey 
bustles  terrified  of  gmere  gnomes  of  gmountains  and  furibound 
to  be  back  in  her  mytinbeddy?",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
5687,I,"252 I in  Peruvian  for  in  the  ersebest  idiom  I  have  done  it  equals  I  so 
shall  do.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
5993,"A  phantom  city,  phaked  of  philim 
pholk,  bowed  and  sould  for  a  four  of  hundreds 
of  manhood  in  their  three  and  threescore 
fylkers  for  a  price  partitional  of  twenty  six  and 
six.","In  these  places  sojournemus,  where  Eblinn 
water,  leased  of  carr  and  fen,  leaving  amont  her 
shoals  and  salmen  browses,  whom  inshore 
breezes  woo  with  freshets,  windeth  to  her 
broads. A  phantom  city,  phaked  of  philim 
pholk,  bowed  and  sould  for  a  four  of  hundreds 
of  manhood  in  their  three  and  threescore 
fylkers  for  a  price  partitional  of  twenty  six  and 
six. By  this  riverside,  on  our  sunnybank,^  how 
buona  the  vista,  by  Santa  Rosa!",manhood,manhood(100),,,1,
6056,I,"266 I ere  was  a 
hopeful 
ulled  Cis.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
6109,I,"268 I knowledge  that  often  hate  on  first  hearing 
comes  of  love  by  second  sight.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
6118,Is,"Jeg  suis,  vos 
JJndante  wore  a  gentleman,  thou  arr,  I  am  a  quean. Is mnoroso,  a  game  over?",,mannish(100); disguise(100),,,0,
6162,L,"i 
I L Monastir, 
Leninstar  and 
Connecticut.",,transsexual(100); genderless(100); sexless(100); ladyman(100); boy-girl(100); switching roles(100); wearing the other's clothes(100),,,9,
6166,I,"The  Eroico 
Furioso  makes 
he  valet  like 
miling. I ^he  hyper  ape  the 
hink  he  groves  the 
2oleyou  see  nowfor 
-ush  sake^  chaw  ley/",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
6195,ing.,"Hoploits  and 
atthems. ing. Hoots  fromm,  we're  globing.",,cross dressing(86),,,0,
6226,m,"272 m Curragh 
machree,  me 
bosthoon  fiend,",,become a woman(100); become a man(100); born a woman(100); born a man(100); manhood(100); womanhood(100); hermaphrodite(100); ladyman(100); mannish(100); woman-man(100); women men(100); man-woman(100); dressed as a man(100); dressed as a woman(100); become other(100),,,6,
6284,it,274 it l0,,transvestite(100); hermaphrodite(100); two-spirit(100); switching roles(100),,,0,
6286,m,"l0 m ,1 
h",,become a woman(100); become a man(100); born a woman(100); born a man(100); manhood(100); womanhood(100); hermaphrodite(100); ladyman(100); mannish(100); woman-man(100); women men(100); man-woman(100); dressed as a man(100); dressed as a woman(100); become other(100),,,6,
6349,I,276 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
6350,I,I I t,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
6351,t,"I t Why  so  mucky 
pick  bridges 
pan  our  Flumi- 
\ian  road,",,transgender(100); transsexual(100); transvestite(100); gender identity(100); hermaphrodite(100); two-spirit(100); become other(100); switching roles(100); wearing the other's clothes(100),,,11,
6541,i,"282 i Non  plus  ulstra, 
Elba,  neCy  c  as  hel- 
ium tuum.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
6592,"For  a  surview  over  all  the  factionables 
see  Iris  in  the  Evenine's  World.^  Binomeans 
to  be  comprendered.","kaksitoista 
volts  yksitoista  volts  kymmenen  volts  yhdek- 
san  volts  kahdeksan  volts  seitseman  volts  kuusi 
volts  viisi  volts  nelja  volts  kolme  volts  kaksi 
volts  yksi!allahthallacamellated,  caravan  series 
to  the  finish  of  helve's  fractures.^  In  outher 
wards,  one  from  five,  two  to  fives  ones,  one 
from  fives  two  millamills  with  a  mill  and  a 
half  a  mill  and  twos  twos  fives  fives  of  bully 
clavers. For  a  surview  over  all  the  factionables 
see  Iris  in  the  Evenine's  World.^  Binomeans 
to  be  comprendered. Inexcessible  as  thy  by 
god  ways.",,gendered(88),,,1,
6635,w,1 w J/ ill,,become a woman(100); born a woman(100); womanhood(100); two-spirit(100); woman-man(100); women men(100); man-woman(100); dressed as a woman(100); switching roles(100); wearing the other's clothes(100),,,0,
6730,i,"292 i teralterance  or 
e  Interplay  of 
ones  in  the 
'^omb.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
6861,hi,"jlm hi Destiny i  In- 
fluence of Design 
upon.",,switching roles(100),,,0,
6971,I,300 I Ik,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
6974,hi,"I 
I hi h 
kl",,switching roles(100),,,0,
7016,man.,"Ensouling  Fe- 
male Sustains man. tions,  quoths  the  Bhagavat  biskop  Leech)  Ann 
opes  tipoo  soon  ear!",,become a woman(86); become a man(86); born a woman(86); born a man(86); ladyman(86); dressed as a man(86); dressed as a woman(86),,,0,
7054,n,"Conception  of  the 
Compromise  and 
Finding  of  a 
Formula, n Ideal  Present 
Alone  Produces 
Real  Future,",,transgender(100); transsexual(100); transvestite(100); sex change(100); gender identity(100); cross dressing(100); become a woman(100); become a man(100); born a woman(100); born a man(100); manhood(100); womanhood(100); androgyne(100); androgyny(100); changing sex(100); gendered(100); genderless(100); ladyman(100); mannish(100); woman-man(100); women men(100); man-woman(100); dressed as a man(100); dressed as a woman(100); changed sex(100); switching roles(100); wearing the other's clothes(100),,,0,
7281,Ni,Ockt Ni Geg2,,mannish(100),,,0,
7374,I,.1 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7375,I,I I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7376,I,I I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7377,i,I i (,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7386,-,"Godeown  moseys  and  skeep  thy  beeble 
bee! - —",,cross-dress(100); two-spirit(100); woman-man(100); man-woman(100); boy-girl(100); she-he(100),,,0,
7437,i,"And  they  addled,  (or 
ere  the  cry  of  their  tongues  would  be  uptied  dead)  Shufflebotham 
asidled,  plus  his  ducks  fore  his  drills,  an  inlay  of  a  liddle  more 
lining  maught  be  licensed  all  at  ones,  be  these  same  tokens,  for- 
giving a  brass  rap,  sneither  a  whole  length  nor  a  short  shift  so 
full  as  all  were  concerned. i Burniface,  shjply  efter,  shoply  after,  at  an  angle  of  lag,  let  flow, 
brabble  brabble  and  brabble,  and  so  hostily,  heavyside  breathing, 
came  up  with  them  and,  check  me  joule,  shot  the  three  tailors, 
butting  back  to  Moyle  herring,  bump  as  beam  and  buttend,  roller  i'  ^^Ta  iji^ 
and  reiter,  after  the  diluv's  own  deluge,  the  seasant  samped  as 
skibber  breezed  in,  tripping,  dripping,  threw  the  sheets  in  the 
wind,  the  tights  of  his  trunks  at  tickle  to  tackle  and  his  rubmelucky 
truss  rehorsing  the  pouffed  skirts  of  his  overhawl.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7550,I,318 I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7551,i,I i i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7552,i,i i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7553,I,i I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7554,i,I i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7555,I,i I 4,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7672,I,"322 I on  the  bummell,  tlie  bugganeering  wanderducken,  he  sazd,  (that 
his  pumps  may  ship  awhoyle  shandymound  of  the  dussard),  the 
coarsehair  highsaydighsayman,  there's  nice  tugs  he  looks,  (how 
you  was,  Ship  Alouset?)",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7696,As,Underbund  was  overraskelled. As —,,dressed as a man(100); dressed as a woman(100),,,0,
7722,I,324 I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7723,i,I i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7724,I,i I tials.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7781,I,328 I III,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7845,I,330 I II,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
7949,i,^ i .4^'  AT,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8173,i,340 i aureolies.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8232,y,"342 y malaise  after  the  pognency  of  orangultoniay  orients  by  way  of  Sagit- 
tarius towards  Draco  on  the  Lour),  And  you  collier  carsst  on  him, 
the  corsar,  with  Boyle,  Burke  and  Campbell,  I'll  gogemble  on 
strangbones  tomb.",,gender identity(100); androgyne(100); androgyny(100); ladyman(100); boy-girl(100),,,0,
8268,I,"II I then  the  way  I  immingled  my  Irmenial  hairmaierians  ammon- 
gled  his  Gospolis  fomiliours  till,  achaura  moucreas,  I  adn't  the 
arts  to.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8321,I,346 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8322,I,I I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8323,i,"I i of  another  time,  a  white  horsday  where  the  midril  met  the  bulg, 
sbogom,  roughnow  along  about  the  first  equinarx  in  the  cholon- 
der,  on  the  plain  of  Khorason  as  thou  goest  from  the  mount  of 
Bekel,  Steep  Nemorn,  elve  hundred  and  therety  and  to  years 
how  the  krow  flees  end  in  deed,  after  a  power  of  skimiskes, 
blodidens  and  godinats  of  them,  when  we  sight  the  beasts,  (heg- 
heg  whatlk  of  wraimy  wetter!",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8373,"[In  the  heliotropical  noughttime  following  a  fade  of  trans- 
formed Tuff  and,  pending  its  viseversion,  a  metenergic  reglow 
of  beaming  Batt,  the  hairdhoard  bombardment  screen,  if  taste- 
fully taut  guranium  satin,  tends  to  teleframe  and  step  up  to 
the  charge  of  a  light  barricade.","Sing  in 
the  chorias  to  the  ethur: [In  the  heliotropical  noughttime  following  a  fade  of  trans- 
formed Tuff  and,  pending  its  viseversion,  a  metenergic  reglow 
of  beaming  Batt,  the  hairdhoard  bombardment  screen,  if  taste- 
fully taut  guranium  satin,  tends  to  teleframe  and  step  up  to 
the  charge  of  a  light  barricade. Down  the  photoslope  in  syncopanc 
pulses,  with  the  bitts  bugtwug  their  teffs,  the  missledhropes, 
glitter aglatteraglutt,  borne  by  their  carnier  waive.",trans,,,,2,
8408,r,ll r I,,transgender(100); transsexual(100); transvestite(100); gender identity(100); cross-dress(100); cross dressing(100); born a woman(100); born a man(100); androgyne(100); androgyny(100); hermaphrodite(100); two-spirit(100); gendered(100); genderless(100); boy-girl(100); dressed as a man(100); dressed as a woman(100); become other(100); switching roles(100); wearing the other's clothes(100),,,7,
8409,I,r I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8410,I,"I I us  victorias  with  nowells  and  brownings,  dumm,  sneak  and 
curry,  and  all  the  fun  I  had  in  that  fanagan's  week.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8466,I,II I t-,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8468,I,t- I of  sin  praktice  in  failing  to  furrow  theogonies  of  the  dommed).,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8511,i,354 i i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8512,i,"i i i 
I",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8563,I,"356 I iennes  and  our  findest  grobsmid  among  all  dieir  orefices,  (and, 
shukar  in  chowdar,  so  splunderdly  English!)",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8604,I,") I hod's  fush,  3)  all  ever  the  pelican  huntered  with  truly  fond  bull- 
pen backthought  since  his  toork  human  life  where  his  personal 
low  outhired  his  taratoryism,  the  orenore  under  the  self  hide  of  his 
bessermettle,  was  forsake  in  his  chiltern  and  lumbojumbo,  4)  he 
was  like  Fintan  fore  flood  and  after  sometimes  too  damned 
merely  often  on  the  saved  side,  saw  he  was,  5)  regarding  to 
prussyattes  or  quazzyverzing  he  wassand  no  better  than  he  would 
have  been  before  he  could  have  been  better  than  what  he  warrant 
after,  6)  blood,  musk  or  haschish,  as  coked,  diamoned  or  pence- 
loid,  and  bleaching  him  naclenude  from  all  cohlorine  matter, 
down  to  a  boneash  bittstoff,  he's,  tink  fors  tank,  the  same  old 
dustamount  on  the  same  old  tincoverdull  baubleclass,  totstitty- 
winktosser  and  bogusbagwindburster,  whether  fitting  tyres  onto 
Danelope  boys  or  fluttering  flaus  for  laurettas,  whatever  the 
bucket  brigade  and  the  plug  party  says,  touchant  Arser  of  the 
Rum  Tipple  and  his  camelottery  and  lyonesslooting  but  with  a 
layaman's  brutstrenth,  by  Jacohob  and  Esahur  and  the  all  saults 
or  all  sallies,  what  we  warn  to  hear,  jeff"",  is  the  woods  of  chirpsies 
cries  to  singaloo  sweecheeriode  and  sock  him  up,  the  oldcant 
rogue.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8731,The,them  newnesboys  pearcin  screaming  off  their  armsworths. The boss  made  dovesandraves  out  of  his  bucknesst  while  herself  i^^^TiXifyrclu^,,become other(100); wearing the other's clothes(100),,,10,
8735,"disguides  his  voice,  shetters  behind  hoax  chestnote  from  exexive.","Deductive  Almayne  Rogers  ^ ,  f disguides  his  voice,  shetters  behind  hoax  chestnote  from  exexive. Heat  wives  rasing.",,disguise(88),,,4,
8760,The,Meggy  Guggy's  giggag. The 363,,become other(100); wearing the other's clothes(100),,,10,
8790,i,"364 i for  further  oil  mircles  upon  all  herwayferer  gods  and  reanounc- 
ing  my  deviltries  as  was  I  a  locally  person  of  caves  until  I  got  my 
purchase  on  her  firmforhold  I  am,  I  like  to  think,  by  their  sacre- 
ligion  of  daimond  cap  daimond,  confessedly  in  my  baron  gentil- 
homme  to  the  manhor  bourne  till  ladiest  day  as  panthoposopher, 
to  have  splet  for  groont  a  peer  of  bellows  like  Bacchulus  shakes  a 
rousing  guttural  at  any  old  cerpaintime  by  peaching  (allsole  we 
are  not  amusical)  the  warry  warst  against  myself  in  the  defile  as 
a  lieberretter  sebaiscopal  of  these  mispeschyites  of  the  first  virgi- 
nial  water  who,  without  an  auction  of  biasement  from  my  part, 
with  gladyst  tone  ahquickyessed  in  it,  overhowe  and  under- 
where,  the  totty  lolly  poppy  flossy  conny  dollymaukins.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
8826,r,366 r mim.,,transgender(100); transsexual(100); transvestite(100); gender identity(100); cross-dress(100); cross dressing(100); born a woman(100); born a man(100); androgyne(100); androgyny(100); hermaphrodite(100); two-spirit(100); gendered(100); genderless(100); boy-girl(100); dressed as a man(100); dressed as a woman(100); become other(100); switching roles(100); wearing the other's clothes(100),,,7,
9131,"The  wholes 
poors  riches  of  ours  hundreds  of  manhoods  and  womhoods.","But  we'll  wake  and  see. The  wholes 
poors  riches  of  ours  hundreds  of  manhoods  and  womhoods. Two      ^  ^yiiAJj<- 
cents,  two  mills  and  two  myrds.",,manhood(100),,,1,
9218,p,■rrr  i^f p greeding.,,hermaphrodite(100); two-spirit(100),,,8,
9398,I,"380 I mud,  as  best  they  cud,  on  footback,  owing  to  the  leak  of  the 
McCarthy's  mare,  in  extended  order,  a  tree's  length  from  the 
longest  way  out,  down  the  switchbackward  slidder  of  the  land- 
sown  route  of  Hauburnea's  liveliest  vinnage  on  the  brain,  the  ^ 
unimportant  Parthalonians  with  the  mouldy  Firbolgs  and  the 
Tuatha  de  Danaan  googs  and  the  ramblers  from  Clane  and  all 
the  rest  of  the  notmuchers  that  he  did  not  care  the  royal  spit  out  \m 
of  his^stensible  mouth  about,  well,  what  do  you  think  he  did, 
sir,  but,  faix^  he  just  went  heeltapping  through  the  winespilth 
and  weevily  popcorks  that  were  kneedeep  round  his  own  right  ^^^jL«^ 
royal  round  rollicking  toper's  table,  with  his  old  Roderick  Ran-  f 
dom  pullon  hat  at  a  Lanty  Leary  cant  on  him  and  Mike  Brady's 
shirt  and  Greene's  linnet  collarbow  and  his  Ghenter's  gaunts  and 
his  Macclefield's  swash  and  his  readymade  Reillys  and  his  pan- 
prestuberian  poncho,  the  body  you'd  pity  him,  the  way  the  world 
is,  poor  he,  the  heart  of  Midleinster  and  the  supereminent  lord  of  ^ 
them  all,  overwhelmed  as  he  was  with  black  ruin  like  a  sponge 
out  of  water,  allocutioning  in  bellcantos  to  his  own  oliverian 
society  MacGuiney's  Dreans  of  Ergen  Adams  and  thruming 
through  all  to  himself  with  diversed  tonguesed  through  his  old 
tears  and  his  ould  plaised  drawl,  starkened  by  the  most  regal  of 
belches,  like  a  blurney  Cashelmagh  crooner  that  lerking  Clare 
air,  the  blackberd's  ballad  Pve  a  terrible  errible  lot  todue  todie 
todue  tootorribleday^  well,  what  did  he  go  and  do  at  all.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9446,I,384 I (,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9449,I,"f I cuddling  and  kiddling  her^  after  an  oyster  supper  in  CuUen's  barn, 
from  under  her  mistlethrush  and  kissing  and  listening,  in  the  good 
old  bygone  days  of  Dion  Boucicault,  the  elder,  in  Arrah-na- 
pogue,  in  the  otherworld  of  the  passing  of  the  key  of  Two- 
tongue  Common,  with  Nush,  the  carrier  of  the  word,  and  with 
Mesh,  the  cutter  of  the  reed,  in  one  of  the  farback,  pitchblack 
centuries  when  who  made  the  world,  when  they  knew  O'Clery, 
the  man  on  the  door,  when  they  were  all  four  collegians  on  the 
nod,  neer  the  Nodderlands  Nurskery,  whiteboys  and  oakboys, 
peep  of  tim  boys  and  piping  tom  boys,  raising  hell  while  the  sin 
was  shining,  with  their  slates  and  satchels,  playing  Florian's  fables 
and  communic  suctions  and  vellicar  frictions  with  mixum  mem- 
bers, in  the  Queen's  Ultonian  colleges,  along  with  another  fellow, 
a  prime  number,  Totius  Quotius,  and  paying  a  pot  of  tribluts 
to  Boris  O'Brien,  the  buttler  of  Clumpthump,  two  looves,  two 
turnovers  plus  (one)  crown,  to  see  the  mad  dane  ating  his 
vitals.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9505,I,388 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
